/home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/1_and_2.fasta /home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/n_rosa_genomic.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
3979872	3981724	50707	48857	1853	1851	89.53	4164906	77545	0.04	2.39	1	NZ_BCZE01000042.1
3984108	3985808	47104	48804	1701	1701	91.48	4164906	77545	0.04	2.19	1	NZ_BCZE01000042.1
3985871	3988688	44687	41833	2818	2855	90.74	4164906	77545	0.07	3.68	1	NZ_BCZE01000042.1
3988961	3991900	41593	38654	2940	2940	93.44	4164906	77545	0.07	3.79	1	NZ_BCZE01000042.1
3993066	4005728	36671	23988	12663	12684	91.39	4164906	77545	0.30	16.36	1	NZ_BCZE01000042.1
4005870	4012330	23853	17377	6461	6477	91.87	4164906	77545	0.16	8.35	1	NZ_BCZE01000042.1
4012491	4026902	17191	2628	14412	14564	91.52	4164906	77545	0.35	18.78	1	NZ_BCZE01000042.1
4029799	4045995	34666	18430	16197	16237	91.84	4164906	34681	0.39	46.82	1	NZ_BCZE01000078.1
4046193	4051003	18330	13484	4811	4847	91.77	4164906	34681	0.12	13.98	1	NZ_BCZE01000078.1
4051491	4056845	13008	7661	5355	5348	92.85	4164906	34681	0.13	15.42	1	NZ_BCZE01000078.1
4057009	4064420	7464	49	7412	7416	91.38	4164906	34681	0.18	21.38	1	NZ_BCZE01000078.1
4064573	4066669	19	2116	2097	2098	91.75	4164906	81077	0.05	2.59	1	NZ_BCZE01000040.1
4066841	4070826	2143	6066	3986	3924	88.66	4164906	81077	0.10	4.84	1	NZ_BCZE01000040.1
4071264	4099061	6210	34058	27798	27849	91.23	4164906	81077	0.67	34.35	1	NZ_BCZE01000040.1
4099258	4101179	34038	35961	1922	1924	92.58	4164906	81077	0.05	2.37	1	NZ_BCZE01000040.1
4101372	4115725	36121	50401	14354	14281	91.10	4164906	81077	0.34	17.61	1	NZ_BCZE01000040.1
4119562	4128812	54078	63317	9251	9240	90.59	4164906	81077	0.22	11.40	1	NZ_BCZE01000040.1
4128937	4130020	63463	64550	1084	1088	85.14	4164906	81077	0.03	1.34	1	NZ_BCZE01000040.1
4131205	4141668	65940	76352	10464	10413	93.05	4164906	81077	0.25	12.84	1	NZ_BCZE01000040.1
4143915	4146646	78323	81076	2732	2754	92.00	4164906	81077	0.07	3.40	1	NZ_BCZE01000040.1
4146686	4154296	10	7615	7611	7606	91.21	4164906	18011	0.18	42.23	1	NZ_BCZE01000110.1
4154421	4158880	7623	12062	4460	4440	92.34	4164906	18011	0.11	24.65	1	NZ_BCZE01000110.1
4159163	4164906	12272	18010	5744	5739	92.49	4164906	18011	0.14	31.86	1	NZ_BCZE01000110.1
10228	12182	3581	1627	1955	1955	88.82	2710928	110027	0.07	1.78	2	NZ_BCZE01000026.1
12808	16169	126070	129431	3362	3362	84.52	2710928	357524	0.12	0.94	2	NZ_BCZE01000001.1
16995	21634	131213	135823	4640	4611	85.89	2710928	357524	0.17	1.29	2	NZ_BCZE01000001.1
21818	23047	74295	73066	1230	1230	84.41	2710928	99333	0.05	1.24	2	NZ_BCZE01000031.1
23142	29714	331196	337804	6573	6609	89.89	2710928	357524	0.24	1.85	2	NZ_BCZE01000001.1
30657	32169	32532	30985	1513	1548	82.99	2710928	46862	0.06	3.30	2	NZ_BCZE01000064.1
35478	36824	60573	59227	1347	1347	88.30	2710928	76041	0.05	1.77	2	NZ_BCZE01000017.1
38642	46414	135835	143576	7773	7742	90.07	2710928	357524	0.29	2.17	2	NZ_BCZE01000001.1
58370	59847	50572	49087	1478	1486	89.11	2710928	112843	0.05	1.32	2	NZ_BCZE01000024.1
61020	68907	47799	39936	7888	7864	85.52	2710928	112843	0.29	6.97	2	NZ_BCZE01000024.1
69014	74087	39830	34764	5074	5067	86.60	2710928	112843	0.19	4.49	2	NZ_BCZE01000024.1
74720	78835	34186	30071	4116	4116	85.03	2710928	112843	0.15	3.65	2	NZ_BCZE01000024.1
79375	81792	29705	27230	2418	2476	83.31	2710928	112843	0.09	2.19	2	NZ_BCZE01000024.1
81948	86767	27069	22248	4820	4822	87.25	2710928	112843	0.18	4.27	2	NZ_BCZE01000024.1
87604	88654	21372	20297	1051	1076	82.89	2710928	112843	0.04	0.95	2	NZ_BCZE01000024.1
89949	99862	173346	183216	9914	9871	88.47	2710928	357524	0.37	2.76	2	NZ_BCZE01000001.1
99970	101306	183312	184648	1337	1337	88.26	2710928	357524	0.05	0.37	2	NZ_BCZE01000001.1
103123	107355	185860	190117	4233	4258	83.91	2710928	357524	0.16	1.19	2	NZ_BCZE01000001.1
107502	149489	190909	232774	41988	41866	90.24	2710928	357524	1.55	11.71	2	NZ_BCZE01000001.1
150903	156640	247517	253244	5738	5728	87.92	2710928	357524	0.21	1.60	2	NZ_BCZE01000001.1
158597	161954	19124	15750	3358	3375	83.17	2710928	29198	0.12	11.56	2	NZ_BCZE01000084.1
163738	168636	267776	272674	4899	4899	91.77	2710928	357524	0.18	1.37	2	NZ_BCZE01000001.1
168797	179940	27867	38965	11144	11099	89.08	2710928	54624	0.41	20.32	2	NZ_BCZE01000057.1
182660	184824	67497	65333	2165	2165	88.00	2710928	82751	0.08	2.62	2	NZ_BCZE01000037.1
185164	190161	61862	56809	4998	5054	89.82	2710928	82751	0.18	6.11	2	NZ_BCZE01000037.1
190211	193512	44649	47949	3302	3301	91.58	2710928	73169	0.12	4.51	2	NZ_BCZE01000016.1
193619	195228	56622	55055	1610	1568	85.85	2710928	82751	0.06	1.89	2	NZ_BCZE01000037.1
203183	206089	52088	49182	2907	2907	87.50	2710928	82751	0.11	3.51	2	NZ_BCZE01000037.1
204382	206224	9647	7799	1843	1849	81.69	2710928	21914	0.07	8.44	2	NZ_BCZE01000102.1
206577	210710	48656	44521	4134	4136	90.16	2710928	82751	0.15	5.00	2	NZ_BCZE01000037.1
210742	213461	21262	18545	2720	2718	84.99	2710928	82751	0.10	3.28	2	NZ_BCZE01000037.1
217429	218448	107584	108603	1020	1020	84.80	2710928	357524	0.04	0.29	2	NZ_BCZE01000001.1
220100	221887	4501	6288	1788	1788	89.37	2710928	82751	0.07	2.16	2	NZ_BCZE01000037.1
229218	231244	11139	13165	2027	2027	87.44	2710928	110027	0.07	1.84	2	NZ_BCZE01000026.1
234033	235071	13291	14329	1039	1039	91.93	2710928	110027	0.04	0.94	2	NZ_BCZE01000026.1
244912	246646	114739	113019	1735	1721	88.33	2710928	357524	0.06	0.48	2	NZ_BCZE01000001.1
249281	251401	3647	5752	2121	2106	86.90	2710928	21901	0.08	9.62	2	NZ_BCZE01000103.1
251623	253667	93920	95964	2045	2045	89.25	2710928	99333	0.08	2.06	2	NZ_BCZE01000031.1
264622	265779	1445	300	1158	1146	86.54	2710928	8215	0.04	13.95	2	NZ_BCZE01000139.1
265815	274425	17605	9061	8611	8545	90.25	2710928	82751	0.32	10.33	2	NZ_BCZE01000037.1
274942	276307	9041	7676	1366	1366	90.92	2710928	82751	0.05	1.65	2	NZ_BCZE01000037.1
276665	278973	5214	2900	2309	2315	88.26	2710928	112843	0.09	2.05	2	NZ_BCZE01000024.1
279520	280594	2387	1305	1075	1083	91.42	2710928	112843	0.04	0.96	2	NZ_BCZE01000024.1
280793	281908	1121	7	1116	1115	94.27	2710928	112843	0.04	0.99	2	NZ_BCZE01000024.1
281390	282733	122410	121067	1344	1344	82.68	2710928	204838	0.05	0.66	2	NZ_BCZE01000009.1
281883	289336	1	7439	7454	7439	93.06	2710928	21914	0.27	33.95	2	NZ_BCZE01000102.1
294610	296542	5896	7839	1933	1944	91.38	2710928	21901	0.07	8.88	2	NZ_BCZE01000103.1
318319	324158	73457	79277	5840	5821	89.00	2710928	357524	0.22	1.63	2	NZ_BCZE01000001.1
360716	362276	12545	14119	1561	1575	91.01	2710928	29198	0.06	5.39	2	NZ_BCZE01000084.1
365660	366669	58724	57715	1010	1010	80.63	2710928	357524	0.04	0.28	2	NZ_BCZE01000001.1
407715	409009	49508	50802	1295	1295	84.58	2710928	63295	0.05	2.05	2	NZ_BCZE01000051.1
409463	411281	20603	22421	1819	1819	87.53	2710928	102054	0.07	1.78	2	NZ_BCZE01000027.1
411589	412800	22654	23865	1212	1212	89.11	2710928	102054	0.04	1.19	2	NZ_BCZE01000027.1
413023	415998	147196	150162	2976	2967	87.42	2710928	357524	0.11	0.83	2	NZ_BCZE01000001.1
421642	433201	90221	101754	11560	11534	92.53	2710928	112287	0.43	10.27	2	NZ_BCZE01000025.1
433223	446424	11620	24832	13202	13213	88.69	2710928	357524	0.49	3.70	2	NZ_BCZE01000001.1
446497	448965	28182	25744	2469	2439	83.71	2710928	61283	0.09	3.98	2	NZ_BCZE01000054.1
453878	459891	1411	7396	6014	5986	88.26	2710928	73169	0.22	8.18	2	NZ_BCZE01000016.1
462407	463720	49985	51298	1314	1314	88.69	2710928	357524	0.05	0.37	2	NZ_BCZE01000001.1
463997	465449	51690	53142	1453	1453	91.19	2710928	357524	0.05	0.41	2	NZ_BCZE01000001.1
470849	474733	41124	37248	3885	3877	88.20	2710928	73169	0.14	5.30	2	NZ_BCZE01000016.1
517129	518873	132737	134481	1745	1745	81.93	2710928	189116	0.06	0.92	2	NZ_BCZE01000010.1
532412	534570	40831	42992	2159	2162	85.08	2710928	76041	0.08	2.84	2	NZ_BCZE01000017.1
534661	538884	24816	29039	4224	4224	89.97	2710928	357524	0.16	1.18	2	NZ_BCZE01000001.1
539036	544341	29191	34497	5306	5307	90.72	2710928	357524	0.20	1.48	2	NZ_BCZE01000001.1
547274	567201	44026	24075	19928	19952	91.16	2710928	82751	0.74	24.11	2	NZ_BCZE01000037.1
567816	570501	13924	16623	2686	2700	87.24	2710928	54624	0.10	4.94	2	NZ_BCZE01000057.1
570500	578797	26806	35095	8298	8290	91.72	2710928	35173	0.31	23.57	2	NZ_BCZE01000075.1
578803	583929	22057	16919	5127	5139	89.93	2710928	22164	0.19	23.19	2	NZ_BCZE01000101.1
587355	598181	16844	6035	10827	10810	90.73	2710928	22164	0.40	48.77	2	NZ_BCZE01000101.1
598200	601665	5079	1564	3466	3516	88.63	2710928	22164	0.13	15.86	2	NZ_BCZE01000101.1
602949	604271	37777	36455	1323	1323	90.72	2710928	62739	0.05	2.11	2	NZ_BCZE01000032.1
611582	615702	34531	30431	4121	4101	88.51	2710928	62739	0.15	6.54	2	NZ_BCZE01000032.1
617197	619999	30295	27495	2803	2801	86.31	2710928	62739	0.10	4.46	2	NZ_BCZE01000032.1
620065	622940	70190	73037	2876	2848	87.71	2710928	99333	0.11	2.87	2	NZ_BCZE01000031.1
624755	628479	53748	50027	3725	3722	86.91	2710928	54624	0.14	6.81	2	NZ_BCZE01000057.1
637349	639754	48486	46065	2406	2422	92.41	2710928	82680	0.09	2.93	2	NZ_BCZE01000038.1
668004	669090	51731	50645	1087	1087	88.61	2710928	112843	0.04	0.96	2	NZ_BCZE01000024.1
669091	670589	19500	17990	1499	1511	87.48	2710928	26322	0.06	5.74	2	NZ_BCZE01000090.1
671397	673360	40707	38744	1964	1964	85.03	2710928	76041	0.07	2.58	2	NZ_BCZE01000017.1
673529	677784	13734	17988	4256	4255	87.67	2710928	26322	0.16	16.17	2	NZ_BCZE01000090.1
683533	696438	76775	89698	12906	12924	92.16	2710928	99333	0.48	13.01	2	NZ_BCZE01000031.1
700314	702964	17165	14475	2651	2691	84.72	2710928	112843	0.10	2.38	2	NZ_BCZE01000024.1
704583	710320	12757	7057	5738	5701	88.11	2710928	112843	0.21	5.05	2	NZ_BCZE01000024.1
713281	718572	93202	98522	5292	5321	88.03	2710928	102054	0.20	5.21	2	NZ_BCZE01000027.1
719874	720890	81976	82991	1017	1016	90.31	2710928	357524	0.04	0.28	2	NZ_BCZE01000001.1
732970	741583	3243	11855	8614	8613	91.01	2710928	102054	0.32	8.44	2	NZ_BCZE01000027.1
745257	755805	321174	310614	10549	10561	90.07	2710928	357524	0.39	2.95	2	NZ_BCZE01000001.1
773491	774587	82973	84068	1097	1096	87.15	2710928	112287	0.04	0.98	2	NZ_BCZE01000025.1
861317	864659	7823	4494	3343	3330	89.82	2710928	37562	0.12	8.87	2	NZ_BCZE01000071.1
866319	870307	38819	42783	3989	3965	86.55	2710928	110027	0.15	3.60	2	NZ_BCZE01000026.1
873112	874438	8095	9410	1327	1316	88.81	2710928	26322	0.05	5.00	2	NZ_BCZE01000090.1
874512	883445	45686	54611	8934	8926	92.61	2710928	115042	0.33	7.76	2	NZ_BCZE01000020.1
889986	892391	21964	19574	2406	2391	85.63	2710928	35173	0.09	6.80	2	NZ_BCZE01000075.1
911199	913232	300458	298425	2034	2034	90.18	2710928	357524	0.08	0.57	2	NZ_BCZE01000001.1
918709	922128	22215	25637	3420	3423	83.84	2710928	29198	0.13	11.72	2	NZ_BCZE01000084.1
927168	928963	56749	54955	1796	1795	90.14	2710928	95616	0.07	1.88	2	NZ_BCZE01000015.1
933934	952391	1	18499	18458	18499	90.23	2710928	18499	0.68	100.00	2	NZ_BCZE01000109.1
952392	953996	1612	8	1605	1605	90.82	2710928	1612	0.06	99.57	2	NZ_BCZE01000167.1
954005	959083	1	5048	5079	5048	90.92	2710928	99629	0.19	5.07	2	NZ_BCZE01000029.1
959180	960348	5166	6335	1169	1170	93.25	2710928	99629	0.04	1.17	2	NZ_BCZE01000029.1
961602	962683	6769	7850	1082	1082	87.81	2710928	99629	0.04	1.09	2	NZ_BCZE01000029.1
973521	975019	128717	127223	1499	1495	88.31	2710928	128717	0.06	1.16	2	NZ_BCZE01000022.1
1024864	1026015	43225	44376	1152	1152	83.12	2710928	45970	0.04	2.51	2	NZ_BCZE01000065.1
1026131	1027363	44492	45724	1233	1233	83.15	2710928	45970	0.05	2.68	2	NZ_BCZE01000065.1
1067210	1068577	53609	54979	1368	1371	84.84	2710928	142095	0.05	0.96	2	NZ_BCZE01000003.1
1136330	1137868	33601	32063	1539	1539	90.39	2710928	102054	0.06	1.51	2	NZ_BCZE01000027.1
1137958	1139566	8048	9672	1609	1625	85.12	2710928	99629	0.06	1.63	2	NZ_BCZE01000029.1
1147000	1148040	504	1533	1041	1030	86.43	2710928	99591	0.04	1.03	2	NZ_BCZE01000030.1
1202925	1204113	25603	24415	1189	1189	84.96	2710928	128717	0.04	0.92	2	NZ_BCZE01000022.1
1205483	1207809	13893	16217	2327	2325	90.10	2710928	46862	0.09	4.96	2	NZ_BCZE01000064.1
1209212	1210457	17339	18520	1246	1182	88.87	2710928	46862	0.05	2.52	2	NZ_BCZE01000064.1
1210992	1213603	18890	21473	2612	2584	90.52	2710928	46862	0.10	5.51	2	NZ_BCZE01000064.1
1216718	1220810	11526	15615	4093	4090	87.96	2710928	92892	0.15	4.40	2	NZ_BCZE01000035.1
1224231	1229392	1490	6621	5162	5132	89.46	2710928	29198	0.19	17.58	2	NZ_BCZE01000084.1
1230888	1231948	4920	5980	1061	1061	80.86	2710928	32217	0.04	3.29	2	NZ_BCZE01000080.1
1232069	1233198	6101	7230	1130	1130	85.20	2710928	32217	0.04	3.51	2	NZ_BCZE01000080.1
1241561	1243113	107482	105920	1553	1563	89.33	2710928	357524	0.06	0.44	2	NZ_BCZE01000001.1
1243275	1246923	89173	85522	3649	3652	90.30	2710928	357524	0.13	1.02	2	NZ_BCZE01000001.1
1247590	1248975	85437	84061	1386	1377	89.90	2710928	357524	0.05	0.39	2	NZ_BCZE01000001.1
1252415	1257662	20248	25574	5248	5327	87.98	2710928	51744	0.19	10.29	2	NZ_BCZE01000059.1
1268540	1275338	38233	31402	6799	6832	89.56	2710928	63295	0.25	10.79	2	NZ_BCZE01000051.1
1293283	1294308	20308	19283	1026	1026	87.35	2710928	102054	0.04	1.01	2	NZ_BCZE01000027.1
1301561	1302626	33514	34572	1066	1059	83.30	2710928	65454	0.04	1.62	2	NZ_BCZE01000050.1
1307257	1308348	4684	5775	1092	1092	87.65	2710928	60688	0.04	1.80	2	NZ_BCZE01000008.1
1313616	1315266	70722	72371	1651	1650	92.61	2710928	82680	0.06	2.00	2	NZ_BCZE01000038.1
1331042	1333841	79881	82679	2800	2799	92.04	2710928	82680	0.10	3.39	2	NZ_BCZE01000038.1
1333935	1336018	2079	1	2084	2079	92.38	2710928	2079	0.08	100.00	2	NZ_BCZE01000162.1
1333936	1336017	2078	2	2082	2077	91.70	2710928	2079	0.08	99.90	2	NZ_BCZE01000163.1
1336408	1340065	1	3678	3658	3678	89.12	2710928	53802	0.13	6.84	2	NZ_BCZE01000058.1
1342179	1343804	9831	11455	1626	1625	91.71	2710928	53802	0.06	3.02	2	NZ_BCZE01000058.1
1342188	1343823	2091	456	1636	1636	93.15	2710928	14728	0.06	11.11	2	NZ_BCZE01000119.1
1382612	1385416	46978	44173	2805	2806	88.36	2710928	112287	0.10	2.50	2	NZ_BCZE01000025.1
1385527	1389990	43183	38720	4464	4464	88.28	2710928	112287	0.16	3.98	2	NZ_BCZE01000025.1
1396081	1398238	66847	69005	2158	2159	88.94	2710928	82680	0.08	2.61	2	NZ_BCZE01000038.1
1399449	1401986	59060	61597	2538	2538	89.81	2710928	113239	0.09	2.24	2	NZ_BCZE01000023.1
1402462	1405997	62027	65562	3536	3536	88.19	2710928	113239	0.13	3.12	2	NZ_BCZE01000023.1
1406363	1408449	65923	68009	2087	2087	82.95	2710928	113239	0.08	1.84	2	NZ_BCZE01000023.1
1409318	1410518	68880	70084	1201	1205	85.35	2710928	113239	0.04	1.06	2	NZ_BCZE01000023.1
1411154	1412921	78262	80029	1768	1768	85.66	2710928	113239	0.07	1.56	2	NZ_BCZE01000023.1
1413188	1415532	80352	82711	2345	2360	88.65	2710928	113239	0.09	2.08	2	NZ_BCZE01000023.1
1415492	1418550	82960	86018	3059	3059	92.81	2710928	113239	0.11	2.70	2	NZ_BCZE01000023.1
1420513	1424219	58693	62406	3707	3714	89.99	2710928	82680	0.14	4.49	2	NZ_BCZE01000038.1
1425391	1427446	53529	51474	2056	2056	86.55	2710928	112287	0.08	1.83	2	NZ_BCZE01000025.1
1427583	1429814	51337	49106	2232	2232	85.29	2710928	112287	0.08	1.99	2	NZ_BCZE01000025.1
1453762	1455365	24002	22410	1604	1593	83.08	2710928	45594	0.06	3.49	2	NZ_BCZE01000066.1
1455512	1456693	22280	21099	1182	1182	87.32	2710928	45594	0.04	2.59	2	NZ_BCZE01000066.1
1456807	1461995	20979	15814	5189	5166	86.22	2710928	45594	0.19	11.33	2	NZ_BCZE01000066.1
1467307	1469279	62846	64818	1973	1973	87.06	2710928	82680	0.07	2.39	2	NZ_BCZE01000038.1
1478225	1479617	2045	653	1393	1393	90.34	2710928	45594	0.05	3.06	2	NZ_BCZE01000066.1
1487765	1488855	46016	44926	1091	1091	82.47	2710928	136401	0.04	0.80	2	NZ_BCZE01000021.1
1578579	1579598	991	2010	1020	1020	90.71	2710928	45594	0.04	2.24	2	NZ_BCZE01000066.1
1673784	1675066	2	1284	1283	1283	92.67	2710928	2527	0.05	50.77	2	NZ_BCZE01000160.1
1709884	1711553	79114	80783	1670	1670	83.79	2710928	128717	0.06	1.30	2	NZ_BCZE01000022.1
1713501	1716344	82779	85622	2844	2844	82.81	2710928	128717	0.10	2.21	2	NZ_BCZE01000022.1
1714531	1716307	127759	125986	1777	1774	80.38	2710928	136325	0.07	1.30	2	NZ_BCZE01000012.1
1745116	1755344	39770	49978	10229	10209	91.53	2710928	54624	0.38	18.69	2	NZ_BCZE01000057.1
1755435	1764972	331075	321538	9538	9538	89.51	2710928	357524	0.35	2.67	2	NZ_BCZE01000001.1
1776587	1777605	23199	22181	1019	1019	83.86	2710928	35173	0.04	2.90	2	NZ_BCZE01000075.1
1782547	1783693	6540	7687	1147	1148	83.99	2710928	11663	0.04	9.84	2	NZ_BCZE01000129.1
1798362	1802327	8871	4883	3966	3989	87.78	2710928	45594	0.15	8.75	2	NZ_BCZE01000066.1
1804138	1808378	4247	1	4241	4247	86.79	2710928	45594	0.16	9.31	2	NZ_BCZE01000066.1
1810811	1811869	19006	20064	1059	1059	88.76	2710928	113239	0.04	0.94	2	NZ_BCZE01000023.1
1813030	1816178	23492	26654	3149	3163	90.99	2710928	113239	0.12	2.79	2	NZ_BCZE01000023.1
1816553	1830657	27029	41157	14105	14129	90.07	2710928	113239	0.52	12.48	2	NZ_BCZE01000023.1
1830951	1832297	43759	45105	1347	1347	86.24	2710928	113239	0.05	1.19	2	NZ_BCZE01000023.1
1832514	1833909	41446	42844	1396	1399	89.79	2710928	113239	0.05	1.24	2	NZ_BCZE01000023.1
1845753	1852074	73347	67024	6322	6324	90.86	2710928	357524	0.23	1.77	2	NZ_BCZE01000001.1
1855918	1857767	64596	62747	1850	1850	90.43	2710928	102054	0.07	1.81	2	NZ_BCZE01000027.1
1857902	1858969	45704	44637	1068	1068	86.34	2710928	102054	0.04	1.05	2	NZ_BCZE01000027.1
1859381	1861522	44187	42046	2142	2142	91.37	2710928	102054	0.08	2.10	2	NZ_BCZE01000027.1
1861644	1863943	41931	39632	2300	2300	90.53	2710928	102054	0.08	2.25	2	NZ_BCZE01000027.1
1864564	1870578	39638	33624	6015	6015	91.43	2710928	102054	0.22	5.89	2	NZ_BCZE01000027.1
1871078	1878505	8064	674	7428	7391	87.43	2710928	23896	0.27	30.93	2	NZ_BCZE01000098.1
1909025	1910503	176367	177845	1479	1479	88.39	2710928	204838	0.05	0.72	2	NZ_BCZE01000009.1
1912764	1914354	52234	50644	1591	1591	90.14	2710928	99629	0.06	1.60	2	NZ_BCZE01000029.1
1955274	1956923	33956	35605	1650	1650	89.23	2710928	115042	0.06	1.43	2	NZ_BCZE01000020.1
1962882	1970271	34134	26724	7390	7411	89.53	2710928	60688	0.27	12.21	2	NZ_BCZE01000008.1
1970450	1973372	58102	55203	2923	2900	89.51	2710928	113239	0.11	2.56	2	NZ_BCZE01000023.1
1978193	1989405	247293	236052	11213	11242	89.60	2710928	357524	0.41	3.14	2	NZ_BCZE01000001.1
2016190	2018974	13708	10927	2785	2782	90.37	2710928	21914	0.10	12.70	2	NZ_BCZE01000102.1
2019580	2022640	7722	10767	3061	3046	81.14	2710928	21914	0.11	13.90	2	NZ_BCZE01000102.1
2025051	2026633	3216	1634	1583	1583	87.22	2710928	102054	0.06	1.55	2	NZ_BCZE01000027.1
2032133	2037506	13905	19288	5374	5384	92.59	2710928	82680	0.20	6.51	2	NZ_BCZE01000038.1
2042136	2046228	59615	55494	4093	4122	87.64	2710928	102054	0.15	4.04	2	NZ_BCZE01000027.1
2046347	2047905	55376	53831	1559	1546	82.42	2710928	102054	0.06	1.51	2	NZ_BCZE01000027.1
2048811	2050007	52867	51671	1197	1197	89.24	2710928	102054	0.04	1.17	2	NZ_BCZE01000027.1
2050405	2053126	50388	47667	2722	2722	92.58	2710928	102054	0.10	2.67	2	NZ_BCZE01000027.1
2053668	2055001	47129	45796	1334	1334	86.90	2710928	102054	0.05	1.31	2	NZ_BCZE01000027.1
2055303	2059601	65917	61616	4299	4302	88.93	2710928	74536	0.16	5.77	2	NZ_BCZE01000043.1
2060240	2061761	60986	59468	1522	1519	83.75	2710928	74536	0.06	2.04	2	NZ_BCZE01000043.1
2064713	2066569	31717	33575	1857	1859	85.36	2710928	35369	0.07	5.26	2	NZ_BCZE01000073.1
2067052	2068371	81927	80608	1320	1320	89.55	2710928	357524	0.05	0.37	2	NZ_BCZE01000001.1
2071439	2073429	15336	13355	1991	1982	87.72	2710928	45594	0.07	4.35	2	NZ_BCZE01000066.1
2073599	2077691	13156	9062	4093	4095	88.39	2710928	45594	0.15	8.98	2	NZ_BCZE01000066.1
2097774	2099556	52205	53987	1783	1783	90.54	2710928	95616	0.07	1.86	2	NZ_BCZE01000015.1
2105420	2109199	11451	15257	3780	3807	88.95	2710928	31587	0.14	12.05	2	NZ_BCZE01000081.1
2116575	2121893	120118	114795	5319	5324	90.85	2710928	357524	0.20	1.49	2	NZ_BCZE01000001.1
2174452	2176758	11084	13402	2307	2319	91.99	2710928	82680	0.09	2.80	2	NZ_BCZE01000038.1
2199713	2201140	18005	16575	1428	1431	85.34	2710928	110027	0.05	1.30	2	NZ_BCZE01000026.1
2201151	2211408	13820	3572	10258	10249	89.32	2710928	54624	0.38	18.76	2	NZ_BCZE01000057.1
2211550	2213895	3340	1005	2346	2336	89.85	2710928	54624	0.09	4.28	2	NZ_BCZE01000057.1
2213908	2214963	16394	15339	1056	1056	89.77	2710928	110027	0.04	0.96	2	NZ_BCZE01000026.1
2215150	2225818	11438	754	10669	10685	88.47	2710928	30414	0.39	35.13	2	NZ_BCZE01000083.1
2227857	2229071	357524	356310	1215	1215	90.86	2710928	357524	0.04	0.34	2	NZ_BCZE01000001.1
2229122	2230871	25425	27174	1750	1750	90.59	2710928	101923	0.06	1.72	2	NZ_BCZE01000028.1
2230948	2236259	159781	165080	5312	5300	88.98	2710928	204838	0.20	2.59	2	NZ_BCZE01000009.1
2236556	2237964	99321	100729	1409	1409	83.07	2710928	113239	0.05	1.24	2	NZ_BCZE01000023.1
2240902	2242165	8051	6829	1264	1223	82.23	2710928	26322	0.05	4.65	2	NZ_BCZE01000090.1
2243699	2245737	93873	91858	2039	2016	90.20	2710928	99333	0.08	2.03	2	NZ_BCZE01000031.1
2264761	2270011	33579	38821	5251	5243	89.56	2710928	82680	0.19	6.34	2	NZ_BCZE01000038.1
2311051	2313839	51095	53869	2789	2775	93.01	2710928	53901	0.10	5.15	2	NZ_BCZE01000014.1
2331304	2332503	40736	39543	1200	1194	84.26	2710928	63295	0.04	1.89	2	NZ_BCZE01000051.1
2340613	2342569	61305	59349	1957	1957	93.15	2710928	63295	0.07	3.09	2	NZ_BCZE01000051.1
2381007	2382286	34281	35559	1280	1279	85.80	2710928	73169	0.05	1.75	2	NZ_BCZE01000016.1
2400866	2402441	1542	2	1576	1541	89.23	2710928	110027	0.06	1.40	2	NZ_BCZE01000026.1
2403902	2405492	1574	1	1591	1574	89.27	2710928	2233	0.06	70.49	2	NZ_BCZE01000161.1
2405463	2414177	76041	67402	8715	8640	88.49	2710928	76041	0.32	11.36	2	NZ_BCZE01000017.1
2414349	2416048	67286	65605	1700	1682	86.38	2710928	76041	0.06	2.21	2	NZ_BCZE01000017.1
2416629	2421920	5486	219	5292	5268	89.27	2710928	19606	0.20	26.87	2	NZ_BCZE01000108.1
2421956	2426479	15672	20189	4524	4518	89.84	2710928	20189	0.17	22.38	2	NZ_BCZE01000107.1
2426432	2429768	1	3337	3337	3337	93.83	2710928	37562	0.12	8.88	2	NZ_BCZE01000071.1
2429817	2431809	73870	75895	1993	2026	90.39	2710928	82680	0.07	2.45	2	NZ_BCZE01000038.1
2432971	2435590	76260	78866	2620	2607	91.97	2710928	82680	0.10	3.15	2	NZ_BCZE01000038.1
2435785	2437388	59226	57635	1604	1592	85.61	2710928	76041	0.06	2.09	2	NZ_BCZE01000017.1
2437400	2441675	34788	39061	4276	4274	86.95	2710928	95997	0.16	4.45	2	NZ_BCZE01000034.1
2437420	2438423	38546	37545	1004	1002	79.29	2710928	51744	0.04	1.94	2	NZ_BCZE01000059.1
2439090	2440444	57625	56263	1355	1363	89.90	2710928	76041	0.05	1.79	2	NZ_BCZE01000017.1
2442697	2444161	40089	41553	1465	1465	83.12	2710928	95997	0.05	1.53	2	NZ_BCZE01000034.1
2444213	2446587	56027	53642	2375	2386	91.71	2710928	76041	0.09	3.14	2	NZ_BCZE01000017.1
2446617	2456274	52685	43039	9658	9647	91.84	2710928	76041	0.36	12.69	2	NZ_BCZE01000017.1
2457136	2473594	105782	89294	16459	16489	89.92	2710928	357524	0.61	4.61	2	NZ_BCZE01000001.1
